GRT_LABELLED_TIME_SERIES_CLASSIFICATION_DATA_FILE_V1.0
DatasetName: NOT_SET
InfoText: 
NumDimensions: 7
TotalNumTrainingExamples: 6
NumberOfClasses: 2
ClassIDsAndCounters: 
1	3
2	3
UseExternalRanges: 0
LabelledTimeSeriesTrainingData:
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 21
TimeSeriesData: 
-12888	-6800	7360	-34	297	-310	43
-12700	-6736	7256	-123	294	-296	54
-12784	-6864	7428	-2	331	-272	71
-12872	-6832	7320	5	299	-276	72
-12712	-6788	7444	-123	285	-301	73
-12704	-6744	7280	-94	298	-282	76
-12932	-6956	7492	17	352	-255	82
-12784	-6784	7336	-22	293	-310	87
-12636	-6652	7392	-118	266	-301	94
-12748	-6784	7212	-26	336	-282	96
-12904	-6968	7460	19	343	-318	98
-12824	-6724	7444	-94	272	-318	100
-12700	-6756	7284	-83	297	-281	101
-12816	-6792	7344	58	321	-291	101
-12820	-6896	7372	-16	279	-286	102
-12672	-6748	7432	-113	282	-327	104
-12704	-6776	7400	-19	324	-293	103
-12784	-6960	7492	18	366	-283	100
-12716	-6724	7364	-132	243	-328	96
-12596	-6684	7416	-161	294	-303	44
-12436	-6732	7184	-100	302	-304	42
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 28
TimeSeriesData: 
-12732	-6548	7328	-111	267	-281	41
-12660	-6776	7264	-106	314	-281	41
-12980	-7152	7412	49	325	-282	41
-12816	-6732	7392	-7	294	-310	41
-12560	-6620	7332	-159	278	-253	41
-12728	-6876	7384	-20	319	-287	41
-13088	-6972	7200	60	319	-317	55
-12568	-6636	7284	-79	264	-308	81
-12568	-6668	7272	-148	296	-271	90
-12852	-6884	7184	39	342	-282	86
-12808	-6736	7388	26	309	-301	88
-12600	-6520	7424	-171	289	-302	92
-12732	-6832	7360	-43	299	-288	92
-13044	-6964	7500	87	333	-308	95
-12808	-6620	7276	-65	264	-307	95
-12596	-6752	7344	-172	277	-271	98
-12860	-7040	7256	21	351	-268	98
-12956	-6936	7420	30	302	-299	101
-12748	-6636	7288	-142	260	-269	102
-12756	-6896	7220	-75	306	-263	101
-12972	-6936	7344	75	319	-284	100
-12784	-6796	7284	-44	283	-303	100
-12588	-6688	7324	-166	263	-261	100
-12848	-6928	7416	18	341	-262	100
-13096	-7004	7256	70	307	-320	98
-12644	-6568	7300	-157	279	-291	92
-12560	-6708	7336	-113	317	-270	46
-12836	-6876	7380	29	331	-271	43
************TIME_SERIES************
ClassID: 1
TimeSeriesLength: 26
TimeSeriesData: 
-12752	-6544	7380	-41	289	-293	52
-12556	-6540	7316	-170	273	-252	50
-12792	-6916	7480	-20	361	-281	49
-13088	-6832	7332	77	317	-307	50
-12616	-6476	7304	-132	265	-283	52
-12800	-6904	7316	-114	299	-273	82
-13024	-6928	7468	92	344	-293	88
-12792	-6740	7308	-16	285	-313	87
-12664	-6716	7160	-191	277	-276	89
